hour,date,users,event_count,event_name,day
22,4/15/2019,17,20,9,1
22,4/15/2019,5,6,2,0
22,4/15/2019,1,10,3,1
22,4/15/2019,1,1,2,1
22,4/15/2019,6,7,1,0
22,4/15/2019,4,11,6,0
22,4/15/2019,11,14,9,0
22,4/15/2019,14,18,9,7
22,4/15/2019,1,9,7,1
22,4/15/2019,1,3,0,1
22,4/15/2019,1,1,5,0
23,4/15/2019,8,8,1,0
23,4/15/2019,2,3,6,7
23,4/15/2019,1,1,2,21
23,4/15/2019,23,27,9,1
23,4/15/2019,1,1,0,1
23,4/15/2019,4,6,0,0
23,4/15/2019,2,6,7,0
23,4/15/2019,2,5,5,21
23,4/15/2019,1,2,3,7
23,4/15/2019,1,1,1,14
23,4/15/2019,1,1,0,7
23,4/15/2019,14,21,9,7
23,4/15/2019,2,2,4,1
23,4/15/2019,1,2,7,7
23,4/15/2019,6,6,9,21
23,4/15/2019,4,4,9,45
23,4/15/2019,2,5,7,1
23,4/15/2019,3,6,6,1
23,4/15/2019,2,6,3,21
23,4/15/2019,3,3,1,21
23,4/15/2019,2,3,1,1
23,4/15/2019,1,2,7,14
23,4/15/2019,1,1,0,21
23,4/15/2019,2,3,5,1
23,4/15/2019,2,4,6,21
23,4/15/2019,1,1,3,14
23,4/15/2019,1,4,6,14
23,4/15/2019,2,3,3,1
23,4/15/2019,1,3,7,21
23,4/15/2019,5,7,6,0
23,4/15/2019,1,1,2,7
23,4/15/2019,2,2,1,7
23,4/15/2019,3,8,3,0
23,4/15/2019,1,1,2,1
23,4/15/2019,3,3,2,0
23,4/15/2019,1,3,5,14
23,4/15/2019,5,6,9,14
23,4/15/2019,17,31,9,0
0,4/16/2019,5,5,4,1
0,4/16/2019,2,3,6,14
0,4/16/2019,30,39,9,1
0,4/16/2019,6,11,0,1
0,4/16/2019,2,4,0,21
0,4/16/2019,3,3,1,7
0,4/16/2019,1,1,5,21
0,4/16/2019,11,14,1,1
0,4/16/2019,3,4,7,21
0,4/16/2019,8,41,3,1
0,4/16/2019,8,52,6,0
0,4/16/2019,6,6,9,0
0,4/16/2019,11,15,1,0
0,4/16/2019,4,4,1,21
0,4/16/2019,2,4,3,21
0,4/16/2019,7,11,2,0
0,4/16/2019,4,8,6,21
0,4/16/2019,10,13,9,14
0,4/16/2019,2,4,5,0
0,4/16/2019,9,35,7,1
0,4/16/2019,6,30,7,0
0,4/16/2019,21,23,9,7
0,4/16/2019,12,60,6,1
0,4/16/2019,4,4,1,14
0,4/16/2019,1,1,2,7
0,4/16/2019,10,29,0,0
0,4/16/2019,6,6,9,21
0,4/16/2019,1,1,9,90
0,4/16/2019,1,1,0,7
0,4/16/2019,3,6,5,1
0,4/16/2019,2,5,3,14
0,4/16/2019,2,2,2,21
0,4/16/2019,7,34,3,0
0,4/16/2019,1,1,3,7
0,4/16/2019,5,5,2,1
0,4/16/2019,2,4,6,7
0,4/16/2019,1,2,7,7
1,4/16/2019,2,2,2,14
1,4/16/2019,4,6,1,7
1,4/16/2019,6,29,7,1
1,4/16/2019,1,1,5,21
1,4/16/2019,8,21,6,1
1,4/16/2019,11,36,7,0
1,4/16/2019,1,1,9,45
1,4/16/2019,2,2,2,21
1,4/16/2019,2,6,3,21
1,4/16/2019,18,32,6,0
1,4/16/2019,6,14,6,14
1,4/16/2019,1,10,5,14
1,4/16/2019,7,28,3,1
1,4/16/2019,5,7,9,0
1,4/16/2019,1,1,9,90
1,4/16/2019,14,14,9,7
1,4/16/2019,4,18,3,14
1,4/16/2019,9,11,2,0
1,4/16/2019,3,6,0,7
1,4/16/2019,8,24,3,0
1,4/16/2019,2,2,0,14
1,4/16/2019,14,16,9,1
1,4/16/2019,3,12,3,7
